ID,Name,Personal Finance Group Name,Personal Finance Group ID
nzfcc_ckouvvz87005f08mlfta1ecg6,"Accountancy, bookkeeping, auditing, and tax services",Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvz9d005n08ml5by905rq,Advertising and marketing services,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvxvv000h08ml7xbxeoht,Agricultural supplies,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvyy7004g08mlc3hedgqz,Air transport services,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_clahcjf2o000208jtb9krgphr,Airports,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyn5002u08mlbacc93hw,Antique stores and repair,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvye7001s08mld9hj5q2y,Apparel and accessory stores,Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_ckouvvz38005408mlhr8a57nj,Appliance and furniture rentals,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvyqe003808ml73z05dr5,Appliance repair and services,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvz6k005908mlaluc5mhg,"Architect, engineering, and surveying services",Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvyo7002z08ml9oy0a5q1,Art and craft supplies,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyo8003008ml29qq5hn8,"Art stores, dealers, and galleries",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvzju007608mldg1lf61f,"Attractions, museums, zoos, amusement parks, circuses, exhibits",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvytt003r08ml0nc1h7im,Automotive body repair and painting services,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvy4q001008ml3dl13w1q,Automotive parts and accessories,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvyuc003t08mlb3v45h5p,Automotive repair and servicing,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvy98001a08ml3l180boh,Bakeries,Food,group_clasr0ysw000xhk4mf7mg2j1z
nzfcc_ckouvvyvh004108mlfau3hrm2,"Bars, pubs, nightclubs",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyin002e08ml5ahteewu,"Bicycle stores, rentals, and repairs",Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvyi5002d08ml106b4vlx,Boat dealers,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvz37005308mla176dhu7,Boat rentals,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyx4004a08ml4rop060m,Boat transport services,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_cl2pdepxy000009i4bdn9hzfb,Body corporate,Housing,group_clasr0ysw000thk4mefilhht7
nzfcc_ckouvvyjq002g08mlc0h7f3ke,Book stores,Education,group_clasr0ysw000zhk4m0cru14rw
nzfcc_ckouvvxus000e08mlem1o2ha2,Building and carpentry services,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvxz6000m08ml620k803p,Building supplies,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_clahcegjo000008l250of62eq,Bus and shuttle transport services,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvzb0005x08mldzw1a2lr,Business services (not elsewhere classified),Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckpymsz13000009l2alfj3mw4,Business software and cloud services,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvyw1004408mlhy158i7j,Cafes and restaurants,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvz4a005508ml8yfj5utb,Car and motorcycle rentals,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvyrj003f08mldndoev9v,"Car, truck, and motorcycle dealers",Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_cmdnn9y8k000008l2hv032iec,Cash withdrawals,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvzit007208ml20wedcsf,"Casino, lottery, and other gambling services",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyw0004308ml42nd6gao,Caterers,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvxwg000j08ml6bpqetr6,Chemical products and services,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvyc1001l08ml50ov60j5,Child and infant clothing,Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_cmdmif9e7000008jr2s86elu1,Child support,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvzc5006408mlbq4td5dm,Childcare services,Education,group_clasr0ysw000zhk4m0cru14rw
nzfcc_ckouvvzfh006l08mldtd37dvx,Chiropodists and podiatrists,Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvzfd006i08ml2xnjeo2m,Chiropractors and osteopaths,Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvyau001d08mlecosa2ds,"Cigarette, vape, and other smoking products",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvzhm006s08ml5q7r9iof,Cinemas,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvz9v005p08mlbaeeakka,"Cleaning, sanitation, and pest control services",Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvye6001r08mlhgal82ou,Clothing alteration and repair,Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_ckouvvzke007908mlc4640b4h,Clothing rental,Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_ckouvvydo001q08ml4xvgfhgl,Clothing stores,Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_ckouvvy21000u08mlfernbp2r,Computer equipment,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvxtm000a08mlc33qf5sm,Concrete services,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvz86005e08mlc63abinn,Consumer electronics repair and services,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvyaa001b08ml4uj9b2qc,Convenience stores,Food,group_clasr0ysw000xhk4mf7mg2j1z
nzfcc_ckouvvypb003208mld49dca8l,Cosmetic supplies,Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_ckouvvzn8007k08ml806zcml0,"Cosmetic, health spas, and relaxation massage services",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyzx004p08mlds5v33k7,Courier and freight delivery services,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvyet001x08ml59qzamy4,"Curtains, blinds, and window coverings",Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvzm5007i08mlcxn8dmcb,Dating and matchmaking services,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_cmdnn5som001608ky71g13j00,Debt repayments,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvzfy006m08ml2tqk0qni,Dental and medical laboratories,Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvzeu006f08ml3vuf6fub,Dental services,Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvzjv007708mldu57h4em,Digital gaming products and services,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvzed006e08ml8jxcfkbq,Doctors and physicians,Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvymj002p08ml2n2da6nf,Duty free stores,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvzds006a08ml118e2eta,Education (not elsewhere classified),Education,group_clasr0ysw000zhk4m0cru14rw
nzfcc_cl2pjr2ou000009l8hi2se31x,Electric vehicle charging services,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvxu8000c08mlc95b5sfd,Electrical supplies and services,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvxsi000708mlgk8ogd33,Electricity and gas services,Utilities,group_clasr0ysw000vhk4m46ce9nrt
nzfcc_clahc65qk000008jt7nug6ag9,Electricity services,Utilities,group_clasr0ysw000vhk4m46ce9nrt
nzfcc_ckouvvyge002108mlfe0l2thb,Electronic and appliance stores,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvzah005u08ml8vyq4fhw,Employment and career services,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvzi5006v08mlg3pndlk0,Entertainment (not elsewhere classified),Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvzbl006108ml1c9o0tn8,Event venue and equipment rental,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvzi7006w08ml6blq7e83,Events and tickets (not elsewhere classified),Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvygg002308ml8p0z179o,"Fabric, sewing, knitting, and related supplies",Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_ckouvvywi004508mlacrd41wf,Fast food stores,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_cl2pgeu3q000109i4368cg786,Financial advice and wealth management,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvzc2006208ml5mg1cxf7,"Financial asset brokers, exchanges, and managed funds",Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvz23005008ml7hg16o7w,Financial services (not elsewhere classified),Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvyfa001y08mlgbl1f1vu,Fireplaces and supplies,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_clahchmg0000108mo8cnf2bs2,Fish and seafood supplies,Food,group_clasr0ysw000xhk4mf7mg2j1z
nzfcc_ckouvvyes001w08mleewb7dfd,Floor covering stores,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvxwd000i08ml5o99fokj,Floral supplies and services,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvz22004z08ml32530yob,Foreign exchange and money transfer services,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvytq003o08mlbcy57jft,Fuel stations,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvzm3007h08mlfc7l56zp,"Funeral, death, and memorial services",Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_clahc7wwq000108jt06fy6lvo,Gas services,Utilities,group_clasr0ysw000vhk4m46ce9nrt
nzfcc_ckouvvybd001f08ml8w4y3yor,General retail stores,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvyo6002y08mlfafxgd3o,Gift and souvenir stores,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvzis007108ml1fj7f1md,Golf courses,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvywj004608mlho382gvn,"Gyms, fitness, aquatic facilities, yoga, pilates",Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvzm2007g08ml8m0q4ury,Haircuts and treatments,Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_ckouvvxz8000n08ml5gcoffpm,Hardware equipment and supplies,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvxu5000b08ml7aske9u7,"Heating, cooling, and ventilation equipment and services",Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvyjt002i08mlbpv4gyx0,"Hobby, toy, and physical game stores",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyfc001z08ml7yeugcst,Home furnishing and repair stores,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_cl9c9l15j000009kv8ml01tk7,Hospices,Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvzeb006c08mlakege133,Hospitals and emergency care,Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvyux003x08mlgwyo6uq6,"Hotels, motels, and other temporary accommodation",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvz7m005b08mlgher9mt4,IT and software development services,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvy8o001808ml9ld14mx1,"Ice cream, gelato, nut, and confectionary stores",Food,group_clasr0ysw000xhk4mf7mg2j1z
nzfcc_ckouvvy0c000p08mlh2606qt0,Industrial and commercial supplies (not elsewhere classified),Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvz1k004y08ml25j2erby,Insurance,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_cl2pejp4g000109mae32z2zhb,Internet services,Utilities,group_clasr0ysw000vhk4m46ce9nrt
nzfcc_ckouvvxvc000g08ml2oiybbks,"Landscaping, garden, and horticultural services",Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvzkg007b08mlh3higeon,Laundry and drycleaning,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvz88005g08mlb63z0a4l,Legal services,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_cl15vdeg8000009l32o2v1ory,Lending services,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_cl37t9teq000009jwdq7dgqzi,Libraries,Education,group_clasr0ysw000zhk4m0cru14rw
nzfcc_ckouvvyac001c08mlbyp5doni,Liquor stores,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_cl2pbn9e4000009mp382ddhbq,Local government,Housing,group_clasr0ysw000thk4mefilhht7
nzfcc_ckouvvz9u005o08ml2oi20hre,Management consulting,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvyhl002a08ml39u6clb6,"Marinas, marine supplies, and marine services",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvxuq000d08ml81pqa16w,"Masonry, stonework, tiling, plastering, and insulation services",Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckpyo79om000009kw58cq8czp,Meal kit stores,Food,group_clasr0ysw000xhk4mf7mg2j1z
nzfcc_ckouvvy8m001708ml68px9wcf,Meat supplies,Food,group_clasr0ysw000xhk4mf7mg2j1z
nzfcc_ckouvvzhn006t08mlg81xhlbx,Media and entertainment streaming services,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvzec006d08ml1xjz1di1,Medical products and supplies (not elsewhere classified),Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_cl9rwlp2s000009l3gmy97xxj,Medical services (not elsewhere classified),Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckouvvzpe007t08mlfiorez29,Membership organisations (not elsewhere classified),Professional Services,group_clasr0ysw0012hk4mgru5dgy7
nzfcc_ckouvvyvg004008ml6zun9stl,"Motor parks, campgrounds, holiday parks, recreational camps",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvyn2002r08ml4n8t4uja,"Musical equipment, recordings, and supplies",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvzbk006008ml1ks82is1,National government services,Professional Services,group_clasr0ysw0012hk4mgru5dgy7
